shipment_id,order_id,carrier,tracking_number,shipped_date,delivered_date,destination,shipping_address,shipping_cost,weight,status,address_validated
26,43,FedEx,83308906-d72d-4f95-9,2025-10-16,2025-10-17,Chicago,"746 Broadway, Dallas, TX 25431",26.8,3.77,delivered,TRUE
27,46,USPS,ab023a83-9575-4382-8,2025-08-14,2025-08-18,New York,"86 Oak Ave, Houston, TX 27840",26.17,0.26,delivered,TRUE
28,50,DHL,991f63fd-7481-49e5-b,2025-07-21,2025-07-23,Houston,"996 Broadway, San Jose, CA 93563",41.08,2.8,delivered,TRUE
29,51,USPS,b5b3b72b-eddf-4ae9-b,2025-07-22,2025-07-29,San Diego,"791 Market St, Phoenix, AZ 94108",25.23,1.93,delivered,TRUE
30,53,FedEx,137cb45d-03e0-43dd-9,2025-10-23,2025-10-28,Chicago,"656 Random Rd, Chicago",35.84,9.9,delivered,TRUE
31,54,USPS,8146c93b-0b75-4658-a,2025-08-30,2025-09-02,San Jose,"873 Broadway, Phoenix, AZ 51144",16.7,5.09,delivered,TRUE
32,55,FedEx,a1ce97fc-082a-4ec7-9,2025-06-21,2025-06-23,San Jose,"262 Random Rd, San Jose",47.29,7.36,delivered,TRUE
33,57,FedEx,12a28340-6504-45e5-b,2025-07-21,,Houston,"529 Main St, Philadelphia, PA 50685",38.84,0.49,in-transit,TRUE
34,58,UPS,b3f2d437-6659-485f-9,2025-07-19,,Dallas,"440 Market St, Houston, TX 98777",40.19,6.25,in-transit,TRUE
35,59,UPS,1e3bc25b-b78f-4f86-b,2025-09-12,2025-09-13,San Antonio,"952 Random Rd, San Antonio",34.92,0.45,delivered,TRUE
36,60,UPS,71823691-4e0e-472b-a,2025-06-28,2025-07-05,New York,"820 Market St, San Antonio, TX 95089",16.82,6.32,delivered,TRUE
37,63,FedEx,cbb68f2d-b362-47a5-a,2025-05-13,2025-05-15,San Diego,"403 Market St, Houston, TX 23979",49.79,7.82,delivered,TRUE
38,65,USPS,5f921d48-54c8-4b61-b,2025-08-08,2025-08-10,San Diego,"247 Pine Rd, New York, NY 47056",32.1,1.53,delivered,TRUE
39,66,DHL,5da9ec0b-9b06-46eb-b,2025-07-24,,Chicago,"710 Main St, Phoenix, AZ 73142",13.08,8.98,in-transit,TRUE
40,67,USPS,189bbd09-1bc4-4800-8,2025-05-27,2025-05-30,Houston,"159 Random Rd, Houston",7.26,1.14,delivered,TRUE
41,68,FedEx,eadf9e55-cc77-4320-a,2025-06-14,,Houston,"418 Pine Rd, Phoenix, AZ 67422",30.5,9.09,in-transit,TRUE
42,72,USPS,5983ac85-5eca-459e-9,2025-05-30,2025-05-31,San Antonio,"803 Pine Rd, Phoenix, AZ 68493",41.67,9.89,delivered,TRUE
43,73,DHL,531203b4-c3d2-4e75-a,2025-08-26,2025-08-27,Dallas,"479 Broadway, New York, NY 83792",12.81,9.6,delivered,TRUE
44,74,FedEx,97ff24f3-3470-4abe-a,2025-08-17,2025-08-20,Los Angeles,"324 Broadway, Phoenix, AZ 55135",13.97,4.37,delivered,TRUE
45,75,DHL,88ebd4b5-a5e4-48cd-a,2025-05-06,2025-05-12,Philadelphia,"842 Broadway, New York, NY 85877",19.57,1.66,delivered,TRUE
46,77,DHL,c38ff266-7995-49f9-8,2025-08-18,,Phoenix,"938 Random Rd, Phoenix",7.96,6.87,in-transit,TRUE
47,78,DHL,707bfaf5-87f2-481e-b,2025-09-13,2025-09-15,New York,"640 Main St, San Diego, CA 20384",11.98,7.42,delivered,TRUE
48,81,USPS,ade4866c-201e-4ff6-8,2025-09-13,2025-09-14,Dallas,"553 Pine Rd, Dallas, TX 65771",48.8,3.43,delivered,TRUE
49,85,FedEx,e30aa9d8-30b5-4d03-b,2025-10-06,,San Antonio,"733 Market St, San Diego, CA 83272",24.47,7.01,in-transit,TRUE
50,87,DHL,b0f6b88c-61a0-44fd-a,2025-09-09,2025-09-16,Los Angeles,"905 Main St, Phoenix, AZ 68947",25.62,7.43,delivered,TRUE
51,88,UPS,adf917f9-96b9-4b95-b,2025-10-27,2025-10-30,Philadelphia,"762 Pine Rd, San Antonio, TX 89129",47.37,6.05,delivered,TRUE
52,89,DHL,5bc5a75e-310c-4665-a,2025-07-21,2025-07-26,San Diego,"804 Oak Ave, Phoenix, AZ 89569",7.76,2.0,delivered,TRUE
53,90,USPS,12ee101b-81a4-43be-a,2025-08-30,,Phoenix,"18 Broadway, San Jose, CA 95199",35.88,8.51,in-transit,TRUE
54,91,FedEx,6056795c-f74b-4891-a,2025-08-25,2025-08-26,Phoenix,"121 Broadway, New York, NY 66959",44.93,2.67,delivered,TRUE
55,92,FedEx,8a53e32c-90a9-4ed4-9,2025-06-14,2025-06-15,San Antonio,"270 Main St, Phoenix, AZ 50340",24.34,1.37,delivered,TRUE
56,94,FedEx,66515361-75a1-49ba-b,2025-06-30,2025-07-03,Phoenix,"463 Market St, Phoenix, AZ 73656",13.15,1.17,delivered,TRUE
57,97,UPS,23a1a454-b31c-44e1-b,2025-06-12,,Chicago,"869 Broadway, Chicago, IL 90335",41.45,7.98,in-transit,TRUE
58,99,UPS,2b878dd6-7ec5-49cb-a,2025-07-06,,Dallas,"104 Random Rd, Dallas",46.25,2.72,in-transit,TRUE
59,100,UPS,51af47cf-8a21-4f72-9,2025-09-27,2025-09-30,Los Angeles,"212 Oak Ave, Phoenix, AZ 88957",34.77,5.99,delivered,TRUE
60,101,USPS,fdc08ec6-e644-4e10-b,2025-09-29,2025-10-05,Dallas,"174 Broadway, Chicago, IL 43425",5.66,7.41,delivered,TRUE
61,105,USPS,81fa2a10-e592-4a5e-b,2025-10-01,2025-10-02,New York,"103 Main St, Los Angeles, CA 68903",19.13,7.41,delivered,TRUE
62,108,DHL,a60b0f18-b3de-423d-b,2025-10-22,2025-10-24,Philadelphia,"529 Pine Rd, Phoenix, AZ 97410",37.93,9.85,delivered,TRUE
63,109,DHL,8b10fed4-255e-421a-9,2025-06-09,,Los Angeles,"155 Broadway, San Diego, CA 92890",48.34,6.13,in-transit,TRUE
64,111,FedEx,6fd2652a-53ed-488b-a,2025-07-08,2025-07-09,San Antonio,"640 Broadway, Dallas, TX 42275",46.84,2.12,delivered,TRUE
65,112,USPS,c7a5b69a-a844-4fab-a,2025-11-04,2025-11-10,Los Angeles,"523 Pine Rd, Houston, TX 18127",44.22,8.68,delivered,TRUE
66,114,FedEx,58ba077b-b95f-4626-9,2025-08-09,2025-08-15,Dallas,"732 Pine Rd, Dallas, TX 64459",19.56,1.26,delivered,TRUE
67,116,FedEx,ae3db471-35d2-4a0a-8,2025-08-01,,San Jose,"163 Oak Ave, Houston, TX 30625",36.02,1.64,in-transit,TRUE
68,117,USPS,e9155f8c-60e6-4673-9,2025-07-28,2025-07-30,San Jose,"224 Pine Rd, Philadelphia, PA 99593",20.34,5.6,delivered,FALSE
69,118,USPS,24ddbdd6-6ba6-430c-a,2025-06-29,2025-07-04,Phoenix,"146 Market St, Dallas, TX 19808",25.74,6.81,delivered,TRUE
70,119,UPS,133c62a6-b4be-4d99-a,2025-11-01,2025-11-07,Los Angeles,"525 Pine Rd, Chicago, IL 40692",24.22,1.92,delivered,TRUE
71,120,FedEx,b6e9907a-8269-423d-9,2025-09-14,,San Jose,"405 Main St, San Diego, CA 41599",9.81,3.16,in-transit,TRUE
72,122,UPS,a6d54809-9003-41e3-9,2025-07-24,,Philadelphia,"423 Main St, Houston, TX 84668",14.01,9.22,in-transit,TRUE
73,126,DHL,0ac92ae2-61e0-47e2-a,2025-10-08,2025-10-15,Houston,"434 Random Rd, Houston",36.15,8.52,delivered,TRUE
74,128,UPS,a859bf5e-8fb2-4afd-9,2025-07-30,,San Antonio,"545 Main St, New York, NY 13312",19.34,2.56,in-transit,TRUE
75,130,DHL,75aba440-6b18-4595-b,2025-10-02,2025-10-06,Houston,"19 Pine Rd, New York, NY 84443",26.13,1.45,delivered,TRUE
76,131,DHL,066c8af3-28d8-4737-a,2025-06-16,,New York,"433 Main St, San Diego, CA 34586",32.25,9.16,in-transit,TRUE
77,132,FedEx,2cf52ec0-6334-4a9a-9,2025-09-03,2025-09-10,Los Angeles,"513 Oak Ave, San Jose, CA 52027",9.86,7.94,delivered,TRUE
78,133,DHL,87774773-ec2b-43fe-b,2025-06-23,2025-06-26,New York,"225 Pine Rd, San Jose, CA 36685",32.98,4.62,delivered,TRUE
79,134,UPS,ad256962-e01d-475b-8,2025-06-06,,San Diego,"154 Random Rd, San Diego",17.28,5.64,in-transit,TRUE
80,135,UPS,4130704c-f43b-479a-b,2025-07-20,,Los Angeles,"183 Pine Rd, Phoenix, AZ 90769",34.02,8.91,in-transit,TRUE
81,136,DHL,2cf84189-cec8-4b56-9,2025-07-16,,San Diego,"331 Random Rd, San Diego",36.06,5.02,in-transit,TRUE
82,137,FedEx,5956ec25-feb1-4872-8,2025-07-09,2025-07-16,Los Angeles,"586 Oak Ave, New York, NY 29126",33.72,3.58,delivered,TRUE
83,138,UPS,e7d333f3-ac77-4549-9,2025-06-26,2025-06-29,Philadelphia,"797 Pine Rd, San Diego, CA 60052",16.72,8.41,delivered,TRUE
84,140,USPS,0e61e805-e95e-497b-8,2025-05-27,,Houston,"995 Oak Ave, Chicago, IL 77350",7.2,6.11,in-transit,TRUE
85,141,USPS,7a05d4b6-3bf7-4749-b,2025-06-02,2025-06-06,San Diego,"870 Main St, Phoenix, AZ 54453",17.66,4.51,delivered,TRUE
86,142,USPS,2fbe173d-82a6-4769-a,2025-07-13,,New York,"177 Market St, New York, NY 55443",9.01,1.47,in-transit,TRUE
87,144,USPS,15ef2506-3232-4137-b,2025-07-24,2025-07-25,San Jose,"236 Main St, San Jose, CA 93283",22.65,4.21,delivered,TRUE
88,145,USPS,8b5361a4-1a9c-44c8-a,2025-05-31,2025-06-05,Philadelphia,"632 Market St, New York, NY 51012",12.22,7.61,delivered,TRUE
89,146,FedEx,ce595027-1be4-474a-8,2025-09-21,,Houston,"723 Pine Rd, Los Angeles, CA 99687",32.8,9.92,in-transit,TRUE
90,147,FedEx,50fde295-44d5-4636-a,2025-07-13,2025-07-20,Phoenix,"754 Pine Rd, New York, NY 90589",47.01,5.45,delivered,TRUE
91,148,UPS,a2be6f7c-06f3-47f4-8,2025-05-17,2025-05-22,San Jose,"183 Main St, San Jose, CA 57151",44.22,4.74,delivered,TRUE
92,149,USPS,d9767035-ce69-4d5c-a,2025-07-15,,Houston,"377 Pine Rd, Phoenix, AZ 66450",28.03,4.04,in-transit,TRUE
93,150,FedEx,732a5edd-8c59-46a3-a,2025-08-11,,Chicago,"823 Pine Rd, Chicago, IL 83149",20.03,6.54,in-transit,TRUE
94,151,FedEx,e908e3fe-95d0-4a1f-a,2025-09-01,2025-09-05,San Antonio,"400 Pine Rd, San Jose, CA 24201",23.94,1.93,delivered,TRUE
95,155,DHL,a7e0854e-f6a5-4d3b-8,2025-06-11,2025-06-15,Los Angeles,"667 Pine Rd, Phoenix, AZ 73300",21.69,2.28,delivered,TRUE
96,158,USPS,c7750c11-4b53-439b-9,2025-08-21,2025-08-28,Philadelphia,"895 Main St, Philadelphia, PA 12500",48.98,6.13,delivered,TRUE
97,159,USPS,aebd2fea-d069-4f40-a,2025-06-06,2025-06-07,San Antonio,"529 Pine Rd, Phoenix, AZ 97410",27.61,6.64,delivered,TRUE
98,160,UPS,a5f6bcf9-0312-4b98-9,2025-10-16,2025-10-20,Houston,"105 Oak Ave, New York, NY 40495",32.3,7.36,delivered,TRUE
99,161,USPS,1219ebac-0fca-4b7e-a,2025-09-04,,Philadelphia,"302 Oak Ave, Dallas, TX 14405",36.25,2.91,in-transit,TRUE
100,163,USPS,ee40727b-1d8e-4a07-b,2025-10-14,,San Jose,"487 Main St, San Diego, CA 71537",46.06,1.03,in-transit,TRUE
101,165,FedEx,15eb88f6-ba2c-4f31-9,2025-09-14,2025-09-15,Phoenix,"214 Pine Rd, Houston, TX 30446",45.98,3.69,delivered,TRUE
102,166,DHL,d1ba675d-06df-4109-b,2025-10-17,,New York,"525 Pine Rd, Chicago, IL 40692",25.82,4.02,in-transit,TRUE
103,168,DHL,7a15a714-63f8-45f4-9,2025-07-17,2025-07-22,Philadelphia,"575 Main St, Chicago, IL 30517",16.78,3.23,delivered,TRUE
104,169,DHL,30bf08b6-89b8-4aac-8,2025-06-13,2025-06-15,San Diego,"569 Broadway, San Jose, CA 35751",49.63,7.94,delivered,TRUE
105,170,FedEx,2fb00d07-fbdc-4c16-b,2025-09-10,2025-09-14,San Antonio,"399 Random Rd, San Antonio",7.25,4.64,delivered,TRUE
106,171,DHL,ae68886a-5402-442a-a,2025-10-17,,San Diego,"640 Main St, San Diego, CA 20384",19.42,6.74,in-transit,FALSE
107,172,UPS,b5bf57e0-b5e1-42eb-8,2025-07-28,2025-08-01,Philadelphia,"794 Random Rd, Philadelphia",32.97,2.97,delivered,TRUE
108,174,USPS,0bea20b6-9b2c-47d6-a,2025-07-25,2025-08-01,Houston,"620 Main St, San Antonio, TX 60432",47.78,4.2,delivered,TRUE
109,175,UPS,82709597-06e1-4f62-a,2025-05-15,2025-05-18,Los Angeles,"553 Pine Rd, Dallas, TX 65771",27.46,5.23,delivered,TRUE
110,176,FedEx,9a02bfff-856c-4dc5-9,2025-08-31,2025-09-01,San Jose,"244 Main St, New York, NY 51347",42.03,1.06,delivered,TRUE
111,179,USPS,b07e4755-6626-49e0-a,2025-06-09,2025-06-10,New York,"193 Random Rd, New York",7.01,7.87,delivered,TRUE
112,180,UPS,222736ab-5e6a-4a33-b,2025-08-22,2025-08-25,San Diego,"190 Random Rd, San Diego",36.87,9.99,delivered,TRUE
113,181,FedEx,f6ecef79-eaff-4a95-a,2025-07-04,2025-07-08,Dallas,"981 Oak Ave, Chicago, IL 37772",36.24,0.47,delivered,TRUE
114,182,USPS,63ef053e-e205-40c0-9,2025-05-16,2025-05-20,Philadelphia,"501 Random Rd, Philadelphia",19.1,9.3,delivered,TRUE
115,184,FedEx,c0b4d04d-ef1e-4760-8,2025-06-19,2025-06-26,San Antonio,"166 Oak Ave, Phoenix, AZ 53236",13.8,8.27,delivered,TRUE
116,185,USPS,e8c35d3a-f3f9-4405-9,2025-07-15,2025-07-22,Dallas,"323 Pine Rd, Phoenix, AZ 40217",44.79,8.69,delivered,TRUE
117,186,USPS,eee702e5-e332-4afe-b,2025-06-08,2025-06-09,Houston,"224 Broadway, Houston, TX 55957",30.27,7.96,delivered,TRUE
118,187,UPS,1e2c39b7-230c-4748-a,2025-07-29,2025-07-30,Houston,"577 Main St, Philadelphia, PA 88240",10.29,7.99,delivered,TRUE
119,188,USPS,2fafd793-557d-496e-8,2025-07-17,2025-07-24,Phoenix,"832 Broadway, Dallas, TX 68400",41.2,0.6,delivered,TRUE
120,191,USPS,2d5cc088-8b17-495d-8,2025-10-16,2025-10-21,Houston,"387 Market St, Phoenix, AZ 76207",46.73,1.36,delivered,TRUE
121,192,FedEx,d980ce40-a6ff-4b3b-8,2025-06-06,2025-06-12,Houston,"833 Main St, Philadelphia, PA 71385",17.81,6.94,delivered,TRUE
122,193,DHL,ffe288b7-e9ce-4288-8,2025-07-18,2025-07-24,New York,"406 Broadway, Los Angeles, CA 89450",10.0,7.25,delivered,TRUE
123,196,UPS,b709e1e8-fe4a-430c-9,2025-10-18,2025-10-19,Dallas,"173 Random Rd, Dallas",41.04,6.77,delivered,TRUE
124,198,FedEx,4a8b1054-f031-4366-9,2025-07-19,2025-07-21,San Jose,"29 Main St, San Diego, CA 57576",48.27,0.86,delivered,TRUE
125,199,UPS,afd0ad70-d6bc-4f9a-8,2025-06-04,2025-06-10,Dallas,"126 Random Rd, Dallas",34.76,8.28,delivered,TRUE
126,200,FedEx,6584dc6d-62df-4d9d-a,2025-07-08,,New York,"371 Market St, San Antonio, TX 63143",46.64,2.51,in-transit,TRUE
127,201,DHL,b1ecc0df-fe92-44ed-8,2025-06-24,2025-06-28,San Jose,"35 Main St, Chicago, IL 42092",45.94,7.75,delivered,TRUE
128,203,DHL,cb555540-04c2-4d29-b,2025-07-22,2025-07-28,Philadelphia,"636 Oak Ave, Dallas, TX 59634",32.37,3.3,delivered,TRUE
129,205,UPS,d7404095-bddc-4863-8,2025-05-24,2025-05-27,Phoenix,"712 Oak Ave, San Jose, CA 23090",45.66,6.14,delivered,TRUE
130,207,DHL,12b26e78-6b70-4792-8,2025-08-07,,Phoenix,"893 Oak Ave, Philadelphia, PA 20592",36.23,5.33,in-transit,TRUE
131,208,FedEx,732f7e18-ac64-49f0-b,2025-07-07,2025-07-12,San Antonio,"511 Market St, Philadelphia, PA 30578",18.78,0.36,delivered,TRUE
132,209,FedEx,55087ac1-aff9-40fb-a,2025-08-15,2025-08-21,Phoenix,"647 Random Rd, Phoenix",7.59,0.89,delivered,TRUE
133,210,USPS,8a31e0b3-3715-47d0-b,2025-10-27,,Los Angeles,"462 Main St, Dallas, TX 99167",19.43,6.15,in-transit,TRUE
134,212,USPS,c75ea660-2865-48c2-9,2025-08-15,,Houston,"102 Pine Rd, Chicago, IL 52823",39.52,1.56,in-transit,TRUE
135,213,USPS,10791757-fc85-4dfc-a,2025-09-07,2025-09-09,San Jose,"301 Main St, Los Angeles, CA 31012",15.6,9.52,delivered,TRUE
136,214,UPS,5fec2894-ef71-44c8-8,2025-09-06,2025-09-13,Los Angeles,"869 Broadway, Chicago, IL 90335",22.23,7.24,delivered,TRUE
137,215,FedEx,8170e6eb-4b7a-4f02-8,2025-09-09,,Dallas,"532 Oak Ave, Dallas, TX 55793",25.01,9.71,in-transit,TRUE
138,216,UPS,d78dc1ee-e713-404b-a,2025-09-10,,Phoenix,"563 Random Rd, Phoenix",43.66,6.98,in-transit,TRUE
139,218,FedEx,582547d0-d4e8-4d3e-b,2025-08-22,2025-08-27,San Jose,"598 Random Rd, San Jose",15.6,5.66,delivered,TRUE
140,221,UPS,0a7152d8-24af-4d2a-a,2025-05-19,2025-05-22,Chicago,"568 Oak Ave, San Jose, CA 99353",8.3,6.86,delivered,TRUE
141,223,USPS,b48094f0-dd6c-43ee-9,2025-10-03,,Philadelphia,"400 Pine Rd, San Jose, CA 24201",18.62,3.22,in-transit,TRUE
142,224,FedEx,9a599a64-7d98-4cce-b,2025-07-12,,San Jose,"823 Pine Rd, Chicago, IL 83149",5.18,2.86,in-transit,TRUE
143,226,DHL,eed04010-7d82-4e3a-a,2025-07-06,2025-07-12,Dallas,"886 Random Rd, Dallas",5.63,2.05,delivered,TRUE
144,230,DHL,9893dac4-27c5-4253-a,2025-07-11,2025-07-17,San Diego,"943 Oak Ave, San Diego, CA 94852",19.77,6.2,delivered,TRUE
145,231,FedEx,0f988db1-4a1b-4cd4-8,2025-07-25,2025-07-28,San Jose,"548 Broadway, San Diego, CA 87371",30.84,0.46,delivered,TRUE
146,233,UPS,5189398a-cf1d-4789-b,2025-10-03,2025-10-04,Phoenix,"65 Broadway, New York, NY 48290",37.54,2.45,delivered,TRUE
147,234,UPS,e227eca6-10e7-4563-b,2025-07-09,2025-07-16,Los Angeles,"306 Main St, San Antonio, TX 63088",49.43,9.11,delivered,TRUE
148,235,USPS,27d1708a-1738-4747-a,2025-07-18,,Chicago,"48 Pine Rd, Dallas, TX 91006",41.79,4.59,in-transit,TRUE
149,236,FedEx,c19c8098-1a7c-4c57-9,2025-06-30,,Los Angeles,"920 Oak Ave, San Diego, CA 75598",24.41,4.74,in-transit,TRUE
150,240,DHL,90b88484-e371-4ecf-b,2025-08-15,,San Jose,"558 Main St, Dallas, TX 37297",39.66,9.33,in-transit,TRUE
151,242,FedEx,8d30b21b-4a96-4794-b,2025-10-20,2025-10-26,New York,"306 Pine Rd, Phoenix, AZ 25726",12.13,1.21,delivered,TRUE
152,243,FedEx,f22fc273-fdfe-4e6e-b,2025-06-21,,Dallas,"60 Main St, Los Angeles, CA 64651",10.31,1.81,in-transit,TRUE
153,245,FedEx,ccf09119-30ff-4d28-a,2025-09-26,2025-09-27,Houston,"820 Market St, San Antonio, TX 95089",18.63,5.86,delivered,TRUE
154,246,USPS,28d4213d-cad9-44a4-9,2025-07-26,2025-07-28,San Jose,"979 Random Rd, San Jose",48.29,9.38,delivered,TRUE
155,247,USPS,b77b876e-4c3a-4ffc-a,2025-08-09,2025-08-14,Chicago,"570 Broadway, Phoenix, AZ 59006",43.02,0.52,delivered,TRUE
156,250,USPS,61c5bc76-853e-4854-8,2025-05-22,,Phoenix,"996 Broadway, San Jose, CA 93563",8.38,3.13,in-transit,TRUE
157,251,DHL,0591e126-d984-45f0-a,2025-10-23,2025-10-30,San Diego,"802 Pine Rd, San Diego, CA 45313",43.07,7.6,delivered,TRUE
158,252,USPS,302b2efa-2d4c-41c0-8,2025-06-15,2025-06-21,Chicago,"585 Market St, New York, NY 64592",48.26,9.36,delivered,TRUE
159,254,USPS,7df69977-4f9e-48cd-b,2025-10-29,2025-11-03,San Antonio,"462 Market St, San Diego, CA 98555",49.78,4.48,delivered,TRUE
160,256,DHL,655bf005-787a-488b-8,2025-08-13,,Philadelphia,"29 Market St, San Antonio, TX 20205",26.87,0.24,in-transit,TRUE
161,258,UPS,0990269d-d31a-404f-b,2025-06-16,2025-06-23,Philadelphia,"181 Oak Ave, San Antonio, TX 13027",22.83,6.07,delivered,TRUE
162,260,USPS,c9471d7a-cde5-4f82-9,2025-10-30,,Phoenix,"832 Broadway, Dallas, TX 68400",8.0,3.87,in-transit,TRUE
163,262,USPS,a41f810f-8bd1-41ec-a,2025-10-17,2025-10-22,Chicago,"895 Main St, Philadelphia, PA 12500",23.58,4.67,delivered,TRUE
164,263,DHL,265a983e-79d8-4638-8,2025-05-14,2025-05-18,Phoenix,"640 Main St, San Diego, CA 20384",48.08,5.1,delivered,TRUE
165,264,UPS,defadd9f-ff4b-464f-9,2025-10-09,2025-10-15,Dallas,"684 Broadway, Chicago, IL 89316",40.33,3.13,delivered,TRUE
166,266,FedEx,8540c02a-ae65-4477-b,2025-07-09,2025-07-10,San Antonio,"653 Main St, Chicago, IL 92242",27.82,7.87,delivered,TRUE
167,267,UPS,494da0b1-ff0c-4219-9,2025-08-06,,Philadelphia,"576 Broadway, Houston, TX 88644",37.22,1.2,in-transit,TRUE
168,271,FedEx,edcc69a2-84b5-4a64-b,2025-11-04,2025-11-07,New York,"218 Pine Rd, New York, NY 81987",6.24,6.22,delivered,TRUE
169,272,FedEx,f6fe7950-8216-4255-8,2025-09-04,,Los Angeles,"821 Market St, Philadelphia, PA 32662",39.47,8.17,in-transit,TRUE
170,273,USPS,0d4e9871-4dd8-452b-8,2025-09-07,,San Jose,"683 Broadway, San Antonio, TX 84085",16.95,8.24,in-transit,TRUE
171,274,DHL,a776cd63-b039-4977-a,2025-06-21,2025-06-28,Chicago,"371 Market St, San Antonio, TX 63143",22.01,3.38,delivered,TRUE
172,275,DHL,dbb217a8-abfd-4241-9,2025-10-25,,Phoenix,"996 Market St, Philadelphia, PA 51222",16.86,8.56,in-transit,TRUE
173,277,FedEx,0c0695cf-54c4-4d32-8,2025-07-20,2025-07-26,Los Angeles,"768 Main St, Houston, TX 62725",35.28,9.49,delivered,TRUE
174,278,FedEx,b0f4fb27-ac6a-4cde-8,2025-07-09,,Dallas,"280 Main St, San Jose, CA 70217",37.86,5.55,in-transit,TRUE
175,279,USPS,182e09e1-bd5c-4c26-b,2025-05-16,2025-05-23,Houston,"349 Random Rd, Houston",30.67,6.35,delivered,TRUE
176,281,DHL,cbdf6f71-d9bf-4b20-9,2025-08-01,2025-08-08,Los Angeles,"792 Oak Ave, New York, NY 85457",31.57,2.38,delivered,TRUE
177,282,USPS,baa3d987-41a1-412a-a,2025-07-26,2025-08-01,San Jose,"739 Random Rd, San Jose",11.44,5.59,delivered,TRUE
