order_id,customer_id,order_date,status,total_amount,payment_status,shipping_status,shipping_address,notes
105,425,2025-09-08T00:00:00,completed,306.29,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",High priority
106,322,2025-07-29T00:00:00,shipped,171.64,pending,in_transit,"88 River Rd, San Antonio, TX 78201",Deliver to neighbor if absent
107,160,2025-07-03T00:00:00,processing,453.67,pending,pending,"123 Main St, New York, NY 10001",Call before delivery
108,445,2025-07-13T00:00:00,completed,541.91,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",Fraud review
109,,2025-10-21T00:00:00,processing,346.91,failed,pending,"402 Lakeview Dr, Dallas, TX 75201",
110,280,2025-06-23T00:00:00,completed,240.04,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
111,436,2025-10-28T00:00:00,completed,872.3,paid,delivered,"2500 Elm St, Philadelphia, PA 19103",
112,579,2025-11-02T00:00:00,shipped,47.74,paid,shipped,"402 Lakeview Dr, Dallas, TX 75201",Gift
113,574,2025-10-12T00:00:00,cancelled,401.12,refunded,cancelled,"2500 Elm St, Philadelphia, PA 19103",High priority | INTENTIONAL_TOTAL_MISMATCH
114,14,2025-05-16T00:00:00,processing,660.0,pending,pending,"789 Pine Rd, Chicago, IL 60601",Call before delivery
115,548,2025-05-27T00:00:00,processing,974.69,pending,pending,"123 Main St, New York, NY 10001",Holiday promo
116,549,2025-08-25T00:00:00,completed,268.62,paid,delivered,"88 River Rd, San Antonio, TX 78201",
117,137,2025-09-11T00:00:00,shipped,369.78,paid,shipped,"77 Hill St, San Jose, CA 95101",Holiday promo
118,298,2025-09-23T00:00:00,completed,935.66,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",Fraud review
119,408,2025-06-24T00:00:00,pending,276.42,unpaid,pending,"321 Maple St, Houston, TX 77001",Call before delivery | INTENTIONAL_TOTAL_MISMATCH
120,8,2025-05-17T00:00:00,cancelled,461.32,unpaid,cancelled,"456 Oak Ave, Los Angeles, CA 90001",Deliver to neighbor if absent
121,163,2025-07-31T00:00:00,processing,609.81,failed,pending,"88 River Rd, San Antonio, TX 78201",Call before delivery
122,497,2025-06-23T00:00:00,pending,746.81,unpaid,pending,"2500 Elm St, Philadelphia, PA 19103",
123,209,2025-10-20T00:00:00,completed,694.9,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Deliver to neighbor if absent
124,514,2025-05-12T00:00:00,processing,412.83,paid,pending,"123 Main St, New York, NY 10001",High priority
125,575,2025-08-30T00:00:00,completed,865.04,paid,delivered,"77 Hill St, San Jose, CA 95101",Fraud review
126,94,2025-07-26T00:00:00,shipped,784.2,pending,shipped,"77 Hill St, San Jose, CA 95101",
127,6,2025-09-28T00:00:00,shipped,308.38,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Gift | INTENTIONAL_TOTAL_MISMATCH
128,608,2025-07-10T00:00:00,cancelled,221.76,unpaid,cancelled,"789 Pine Rd, Chicago, IL 60601",Deliver to neighbor if absent | INTENTIONAL_TOTAL_MISMATCH
129,374,2025-08-16T00:00:00,pending,990.46,unpaid,pending,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
130,559,2025-09-04T00:00:00,cancelled,54.9,unpaid,cancelled,"402 Lakeview Dr, Dallas, TX 75201",Gift
131,651,2025-09-17T00:00:00,completed,102.2,paid,delivered,"77 Hill St, San Jose, CA 95101",Fraud review
132,426,2025-09-19T00:00:00,shipped,295.26,paid,in_transit,"123 Main St, New York, NY 10001",Leave at front desk
133,63,2025-07-04T00:00:00,completed,682.01,paid,delivered,"2500 Elm St, Philadelphia, PA 19103",High priority
134,308,2025-08-01T00:00:00,processing,721.45,failed,pending,"402 Lakeview Dr, Dallas, TX 75201",
135,165,2025-05-17T00:00:00,cancelled,613.74,unpaid,cancelled,"123 Main St, New York, NY 10001",Call before delivery
136,293,2025-05-24T00:00:00,shipped,340.13,paid,shipped,"321 Maple St, Houston, TX 77001",Holiday promo
137,511,2025-06-07T00:00:00,completed,731.43,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",Leave at front desk
138,585,2025-05-12T00:00:00,processing,450.7,pending,pending,"789 Pine Rd, Chicago, IL 60601",Holiday promo
139,325,2025-07-23T00:00:00,completed,788.58,paid,delivered,"77 Hill St, San Jose, CA 95101",Fraud review
140,567,2025-07-21T00:00:00,shipped,401.55,paid,in_transit,"456 Oak Ave, Los Angeles, CA 90001",Leave at front desk
141,205,2025-08-19T00:00:00,shipped,361.53,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",High priority
142,246,2025-08-07T00:00:00,shipped,76.79,paid,shipped,"321 Maple St, Houston, TX 77001",High priority
143,89,2025-10-05T00:00:00,processing,874.61,failed,pending,"2500 Elm St, Philadelphia, PA 19103",
144,334,2025-05-10T00:00:00,cancelled,977.38,refunded,cancelled,"123 Main St, New York, NY 10001",
145,313,2025-10-18T00:00:00,shipped,951.54,paid,in_transit,"555 Cedar Ln, Phoenix, AZ 85001",Gift | INTENTIONAL_TOTAL_MISMATCH
146,128,2025-10-15T00:00:00,completed,116.39,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",High priority
147,542,2025-08-21T00:00:00,cancelled,942.12,refunded,cancelled,"123 Main St, New York, NY 10001",Gift
148,696,2025-09-13T00:00:00,shipped,960.66,paid,in_transit,"555 Cedar Ln, Phoenix, AZ 85001",Call before delivery
149,338,2025-10-21T00:00:00,pending,287.28,unpaid,pending,"77 Hill St, San Jose, CA 95101",Call before delivery | INTENTIONAL_TOTAL_MISMATCH
150,32,2025-06-10T00:00:00,completed,792.88,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",High priority
151,254,2025-06-30T00:00:00,completed,170.68,paid,delivered,"77 Hill St, San Jose, CA 95101",Gift
152,279,2025-07-29T00:00:00,completed,629.84,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",High priority
153,91,2025-10-05T00:00:00,completed,460.91,paid,delivered,"123 Main St, New York, NY 10001",Deliver to neighbor if absent
154,338,2025-09-27T00:00:00,processing,32.97,pending,pending,"789 Pine Rd, Chicago, IL 60601",Call before delivery
155,275,2025-08-09T00:00:00,completed,865.6,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Gift
156,341,2025-08-19T00:00:00,completed,441.41,paid,delivered,"2500 Elm St, Philadelphia, PA 19103",
157,496,2025-10-05T00:00:00,shipped,325.43,pending,in_transit,"555 Cedar Ln, Phoenix, AZ 85001",Deliver to neighbor if absent
158,637,2025-09-21T00:00:00,processing,566.33,pending,pending,"88 River Rd, San Antonio, TX 78201",Deliver to neighbor if absent
159,100,2025-07-04T00:00:00,completed,754.46,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Fraud review
160,653,2025-10-10T00:00:00,processing,520.37,paid,pending,"321 Maple St, Houston, TX 77001",High priority
161,279,2025-06-07T00:00:00,shipped,533.55,pending,shipped,"555 Cedar Ln, Phoenix, AZ 85001",
162,43,2025-09-21T00:00:00,processing,548.61,paid,pending,"789 Pine Rd, Chicago, IL 60601",
163,438,2025-07-16T00:00:00,processing,473.63,paid,pending,"789 Pine Rd, Chicago, IL 60601",Call before delivery
164,638,2025-10-06T00:00:00,pending,930.18,unpaid,pending,"789 Pine Rd, Chicago, IL 60601",Holiday promo
165,133,2025-07-22T00:00:00,completed,945.4,paid,delivered,"321 Maple St, Houston, TX 77001",Gift
166,637,2025-05-20T00:00:00,cancelled,565.03,refunded,cancelled,"88 River Rd, San Antonio, TX 78201",Holiday promo
167,95,2025-10-17T00:00:00,pending,340.04,unpaid,pending,"123 Main St, New York, NY 10001",Gift
168,377,2025-08-30T00:00:00,completed,342.38,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
169,452,2025-05-11T00:00:00,completed,851.38,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",Deliver to neighbor if absent
170,50,2025-07-07T00:00:00,cancelled,424.61,unpaid,cancelled,"456 Oak Ave, Los Angeles, CA 90001",High priority
171,661,2025-08-02T00:00:00,pending,289.53,unpaid,pending,"123 Main St, New York, NY 10001",Call before delivery
172,528,2025-07-16T00:00:00,shipped,208.33,paid,shipped,"456 Oak Ave, Los Angeles, CA 90001",Deliver to neighbor if absent
173,28,2025-08-19T00:00:00,completed,288.99,paid,delivered,"2500 Elm St, Philadelphia, PA 19103",
174,255,2025-08-26T00:00:00,completed,924.38,paid,delivered,"77 Hill St, San Jose, CA 95101",Fraud review
175,166,2025-11-03T00:00:00,shipped,173.3,paid,shipped,"789 Pine Rd, Chicago, IL 60601",Leave at front desk
176,239,2025-10-02T00:00:00,completed,682.3,paid,delivered,"321 Maple St, Houston, TX 77001",Fraud review
177,328,2025-08-28T00:00:00,cancelled,450.8,refunded,cancelled,"555 Cedar Ln, Phoenix, AZ 85001",Deliver to neighbor if absent
178,243,2025-10-01T00:00:00,cancelled,535.56,refunded,cancelled,"2500 Elm St, Philadelphia, PA 19103",Holiday promo
179,119,2025-06-26T00:00:00,processing,324.02,failed,pending,"2500 Elm St, Philadelphia, PA 19103",High priority
180,458,2025-09-24T00:00:00,shipped,302.06,pending,in_transit,"789 Pine Rd, Chicago, IL 60601",Holiday promo
181,447,2025-09-21T00:00:00,shipped,362.96,paid,delivered,"88 River Rd, San Antonio, TX 78201",Call before delivery
182,307,2025-07-25T00:00:00,shipped,807.73,paid,delivered,"123 Main St, New York, NY 10001",Deliver to neighbor if absent
183,340,2025-06-10T00:00:00,completed,206.7,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Holiday promo
184,452,2025-09-26T00:00:00,pending,722.58,unpaid,pending,"2500 Elm St, Philadelphia, PA 19103",Holiday promo
185,109,2025-07-29T00:00:00,shipped,567.22,pending,shipped,"123 Main St, New York, NY 10001",Leave at front desk
186,700,2025-08-23T00:00:00,shipped,311.22,pending,delivered,"321 Maple St, Houston, TX 77001",Deliver to neighbor if absent | INTENTIONAL_TOTAL_MISMATCH
187,506,2025-07-27T00:00:00,pending,162.21,unpaid,pending,"555 Cedar Ln, Phoenix, AZ 85001",Call before delivery
188,31,2025-10-05T00:00:00,processing,395.05,paid,pending,"77 Hill St, San Jose, CA 95101",High priority
189,189,2025-08-07T00:00:00,completed,397.15,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",High priority
190,228,2025-08-27T00:00:00,processing,176.15,paid,pending,"88 River Rd, San Antonio, TX 78201",Fraud review
191,433,2025-09-10T00:00:00,processing,953.21,paid,pending,"123 Main St, New York, NY 10001",Gift
192,293,2025-06-28T00:00:00,cancelled,767.62,refunded,cancelled,"123 Main St, New York, NY 10001",High priority
193,118,2025-06-09T00:00:00,pending,385.72,unpaid,pending,"789 Pine Rd, Chicago, IL 60601",
194,82,2025-09-13T00:00:00,shipped,800.51,pending,delivered,"321 Maple St, Houston, TX 77001",Holiday promo
195,194,2025-05-15T00:00:00,completed,133.94,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Call before delivery | INTENTIONAL_TOTAL_MISMATCH
196,600,2025-08-23T00:00:00,completed,737.7,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
197,224,2025-06-23T00:00:00,cancelled,61.74,unpaid,cancelled,"456 Oak Ave, Los Angeles, CA 90001",Holiday promo
198,516,2025-10-10T00:00:00,pending,380.26,unpaid,pending,"77 Hill St, San Jose, CA 95101",High priority
199,25,2025-07-21T00:00:00,completed,507.78,paid,delivered,"321 Maple St, Houston, TX 77001",Gift
200,552,2025-09-04T00:00:00,pending,294.1,unpaid,pending,"321 Maple St, Houston, TX 77001",Gift
201,436,2025-09-27T00:00:00,completed,916.02,paid,delivered,"88 River Rd, San Antonio, TX 78201",High priority
202,341,2025-07-13T00:00:00,processing,809.17,failed,pending,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
203,258,2025-08-24T00:00:00,completed,822.89,paid,delivered,"77 Hill St, San Jose, CA 95101",Holiday promo
204,334,2025-07-03T00:00:00,processing,189.71,failed,pending,"88 River Rd, San Antonio, TX 78201",Deliver to neighbor if absent
205,426,2025-07-11T00:00:00,completed,293.3,paid,delivered,"88 River Rd, San Antonio, TX 78201",Fraud review
206,684,2025-07-21T00:00:00,shipped,833.98,pending,in_transit,"456 Oak Ave, Los Angeles, CA 90001",Fraud review
207,125,2025-05-24T00:00:00,completed,754.36,paid,delivered,"123 Main St, New York, NY 10001",Fraud review
208,667,2025-05-23T00:00:00,completed,206.11,paid,delivered,"789 Pine Rd, Chicago, IL 60601",High priority
209,494,2025-08-20T00:00:00,completed,572.63,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
210,314,2025-08-07T00:00:00,processing,606.2,paid,pending,"321 Maple St, Houston, TX 77001",High priority
211,543,2025-10-26T00:00:00,completed,121.44,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",Holiday promo
212,579,2025-07-21T00:00:00,completed,835.73,paid,delivered,"789 Pine Rd, Chicago, IL 60601",High priority
213,291,2025-05-25T00:00:00,completed,526.57,paid,delivered,"77 Hill St, San Jose, CA 95101",Deliver to neighbor if absent
214,548,2025-07-28T00:00:00,pending,856.31,unpaid,pending,"123 Main St, New York, NY 10001",Deliver to neighbor if absent
215,255,2025-11-02T00:00:00,completed,486.04,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",
216,,2025-08-06T00:00:00,pending,968.31,unpaid,pending,"555 Cedar Ln, Phoenix, AZ 85001",Holiday promo | INTENTIONAL_TOTAL_MISMATCH
217,94,2025-07-07T00:00:00,shipped,946.87,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Fraud review
218,212,2025-05-11T00:00:00,processing,793.09,failed,pending,"555 Cedar Ln, Phoenix, AZ 85001",Leave at front desk
219,267,2025-08-24T00:00:00,pending,225.42,unpaid,pending,"17 Sunset Blvd, San Diego, CA 92101",Gift
220,175,2025-08-26T00:00:00,processing,293.08,paid,pending,"88 River Rd, San Antonio, TX 78201",Gift
221,222,2025-06-21T00:00:00,processing,48.37,paid,pending,"77 Hill St, San Jose, CA 95101",Deliver to neighbor if absent
222,50,2025-08-21T00:00:00,processing,286.12,pending,pending,"17 Sunset Blvd, San Diego, CA 92101",High priority
223,471,2025-05-28T00:00:00,completed,718.2,paid,delivered,"123 Main St, New York, NY 10001",Fraud review
224,286,2025-05-30T00:00:00,processing,112.42,pending,pending,"321 Maple St, Houston, TX 77001",Deliver to neighbor if absent
225,10,2025-09-11T00:00:00,processing,912.16,failed,pending,"88 River Rd, San Antonio, TX 78201",Fraud review
226,133,2025-10-26T00:00:00,completed,687.93,paid,delivered,"321 Maple St, Houston, TX 77001",Gift
227,52,2025-07-11T00:00:00,completed,174.98,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Gift
228,271,2025-09-07T00:00:00,cancelled,654.24,unpaid,cancelled,"402 Lakeview Dr, Dallas, TX 75201",Holiday promo
229,698,2025-05-14T00:00:00,cancelled,773.47,refunded,cancelled,"321 Maple St, Houston, TX 77001",High priority
230,245,2025-06-10T00:00:00,completed,745.97,paid,delivered,"77 Hill St, San Jose, CA 95101",Holiday promo | INTENTIONAL_TOTAL_MISMATCH
